UID,ANTENNA_ID,ANTENNA,PAD_ID,X,Y,Z
uid://A002/Xa2300a/Xa8a,Antenna_29,DV17,Station_29,-0.002846,0.000727,6.996913
uid://A002/Xa2300a/Xa8a,Antenna_30,DV18,Station_30,0.001843,-0.001214,6.999379
uid://A002/Xa2300a/Xa8a,Antenna_31,DV19,Station_31,0.000634,-0.000486,6.996667
uid://A002/Xa2300a/Xa8a,Antenna_32,DV20,Station_32,0.000717,-0.000568,7.001772
uid://A002/Xa2300a/Xa8a,Antenna_33,DV21,Station_33,-0.004543,0.000575,7.000293
uid://A002/Xa2300a/Xa8a,Antenna_34,DV22,Station_34,-0.001332,0.000388,7.002203
uid://A002/Xa2300a/Xa8a,Antenna_35,DV23,Station_35,0.000163,-8.4e-05,7.002223
uid://A002/Xa2300a/Xa8a,Antenna_36,DV24,Station_36,-0.000269,-8.5e-05,7.001169
uid://A002/Xa2300a/Xa8a,Antenna_37,DV25,Station_37,-0.000713,-5.9e-05,6.996389
uid://A002/Xa2300a/Xa8a,Antenna_1,DA43,Station_1,0.001258,-0.000965,7.496398
uid://A002/Xa2300a/Xa8a,Antenna_2,DA44,Station_2,-0.001083,0.000574,7.499651
uid://A002/Xa2300a/Xa8a,Antenna_4,DA47,Station_4,0.000121,-0.00082,7.501794
uid://A002/Xa2300a/Xa8a,Antenna_6,DA50,Station_6,0.000694,0.000668,7.499866
uid://A002/Xa2300a/Xa8a,Antenna_0,DA42,Station_0,-0.001524,-0.00021,7.499931
uid://A002/Xa2300a/Xa8a,Antenna_3,DA45,Station_3,-0.000225,0.000687,7.497587
uid://A002/Xa2300a/Xa8a,Antenna_5,DA49,Station_5,0.0,0.00037,7.499227
uid://A002/Xa2300a/Xa8a,Antenna_7,DA51,Station_7,-0.00169,0.000113,7.504334
uid://A002/Xa2300a/Xa8a,Antenna_8,DA52,Station_8,0.000183,0.000579,7.497542
uid://A002/Xa2300a/Xa8a,Antenna_9,DA53,Station_9,0.000191,0.000113,7.499107
uid://A002/Xa2300a/Xa8a,Antenna_10,DA54,Station_10,-0.001007,-0.000163,7.500983
uid://A002/Xa2300a/Xa8a,Antenna_11,DA55,Station_11,-0.000923,-0.000579,7.501393
uid://A002/Xa2300a/Xa8a,Antenna_12,DA57,Station_12,-0.00121,-0.000243,7.498772
uid://A002/Xa2300a/Xa8a,Antenna_13,DA59,Station_13,-0.000993,-0.000102,7.500761
uid://A002/Xa2300a/Xa8a,Antenna_14,DA60,Station_14,-0.001092,-0.00157,7.504065
uid://A002/Xa2300a/Xa8a,Antenna_15,DA61,Station_15,-0.000337,0.000401,7.496975
uid://A002/Xa2300a/Xa8a,Antenna_16,DA62,Station_16,-0.000655,0.000494,7.49676
uid://A002/Xa2300a/Xa8a,Antenna_17,DA63,Station_17,0.000303,0.000759,7.502547
uid://A002/Xa2300a/Xa8a,Antenna_18,DA64,Station_18,0.000619,0.000362,7.500352
uid://A002/Xa2300a/Xa8a,Antenna_19,DV01,Station_19,-0.00133,4.4e-05,6.999164
uid://A002/Xa2300a/Xa8a,Antenna_20,DV05,Station_20,-0.001454,-0.001126,6.998152
uid://A002/Xa2300a/Xa8a,Antenna_21,DV07,Station_21,-0.001013,-0.000402,6.998952
uid://A002/Xa2300a/Xa8a,Antenna_22,DV10,Station_22,-0.000283,-0.002754,6.994864
uid://A002/Xa2300a/Xa8a,Antenna_23,DV11,Station_23,-0.000793,-0.000866,6.999265
uid://A002/Xa2300a/Xa8a,Antenna_24,DV12,Station_24,-0.001167,0.000354,7.001119
uid://A002/Xa2300a/Xa8a,Antenna_25,DV13,Station_25,-0.001765,-0.000392,7.002894
uid://A002/Xa2300a/Xa8a,Antenna_26,DV14,Station_26,-0.001565,-0.000671,7.003108
uid://A002/Xa2300a/Xa8a,Antenna_27,DV15,Station_27,-0.001235,0.000799,7.003535
uid://A002/Xa2300a/Xa8a,Antenna_28,DV16,Station_28,-0.001297,0.000237,7.003672
