UID,SCAN,NUM_SUBSCAN,NUM_FIELD,START_TIME,END_TIME,SCAN_INTENT,FIELD_NAME
uid://A002/Xa2300a/Xa8a,1,10,1,2015-06-04 02:05:01.030000,2015-06-04 02:07:21.174000,CALIBRATE_POINTING,J1550+0527
uid://A002/Xa2300a/Xa8a,2,2,1,2015-06-04 02:08:17.579001,2015-06-04 02:09:43.640001,CALIBRATE_SIDEBAND_RATIO,J1550+0527
uid://A002/Xa2300a/Xa8a,3,3,1,2015-06-04 02:09:43.644001,2015-06-04 02:10:02.725999,CALIBRATE_ATMOSPHERE,J1550+0527
uid://A002/Xa2300a/Xa8a,4,10,1,2015-06-04 02:10:02.737000,2015-06-04 02:15:43.294001,CALIBRATE_BANDPASS,J1550+0527
uid://A002/Xa2300a/Xa8a,5,10,1,2015-06-04 02:16:03.051000,2015-06-04 02:18:21.082001,CALIBRATE_POINTING,J1517-2422
uid://A002/Xa2300a/Xa8a,6,3,1,2015-06-04 02:18:42.587000,2015-06-04 02:19:25.048002,CALIBRATE_ATMOSPHERE,Titan
uid://A002/Xa2300a/Xa8a,7,5,1,2015-06-04 02:19:25.059001,2015-06-04 02:22:23.114000,CALIBRATE_AMPLI,Titan
uid://A002/Xa2300a/Xa8a,8,10,1,2015-06-04 02:22:43.512001,2015-06-04 02:25:01.600000,CALIBRATE_POINTING,J1516+1932
uid://A002/Xa2300a/Xa8a,9,1,1,2015-06-04 02:25:15.350000,2015-06-04 02:26:15.421000,CALIBRATE_PHASE,J1516+1932
uid://A002/Xa2300a/Xa8a,10,3,1,2015-06-04 02:26:26.307000,2015-06-04 02:27:07.722001,CALIBRATE_ATMOSPHERE,J1550+0527
uid://A002/Xa2300a/Xa8a,11,1,1,2015-06-04 02:27:07.726001,2015-06-04 02:27:57.418000,CALIBRATE_DELAY,J1550+0527
uid://A002/Xa2300a/Xa8a,12,3,1,2015-06-04 02:28:09.895001,2015-06-04 02:28:55.242000,CALIBRATE_ATMOSPHERE,Arp220
uid://A002/Xa2300a/Xa8a,13,5,1,2015-06-04 02:28:55.246000,2015-06-04 02:31:47.606001,OBSERVE_TARGET,Arp220
uid://A002/Xa2300a/Xa8a,14,1,1,2015-06-04 02:31:53.172000,2015-06-04 02:32:35.011000,CALIBRATE_PHASE,J1516+1932
